code,description,category
Z22.4,Carrier of infections with a predominantly sexual mode of transmission,General
D78.21,Postprocedural hemorrhage of the spleen following a procedure on the spleen,General
D78.31,Postprocedural hematoma of the spleen following a procedure on the spleen,General
D78.33,Postprocedural seroma of the spleen following a procedure on the spleen,General
F29,Unspecified psychosis not due to a substance or known physiological condition,General
F51.09,Other insomnia not due to a substance or known physiological condition,General
F51.19,Other hypersomnia not due to a substance or known physiological condition,General
J09.X3,Influenza due to identified novel influenza A virus with gastrointestinal manifestations,General
J09.X9,Influenza due to identified novel influenza A virus with other manifestations,General
L76.21,Postprocedural hemorrhage of skin and subcutaneous tissue following a dermatologic procedure,General
L76.31,Postprocedural hematoma of skin and subcutaneous tissue following a dermatologic procedure,General
L76.33,Postprocedural seroma of skin and subcutaneous tissue following a dermatologic procedure,General
M96.811,Intraoperative hemorrhage and hematoma of a musculoskeletal structure complicating other procedure,General
M96.821,Accidental puncture and laceration of a musculoskeletal structure during other procedure,General
N02.B5,Recurrent and persistent immunoglobulin A nephropathy with diffuse mesangial proliferative glomerulonephritis,General
O98.32,Other infections with a predominantly sexual mode of transmission complicating childbirth,General
T50.A16S,"Underdosing of pertussis vaccine, including combinations with a pertussis component, sequela",General
T50.A23S,"Poisoning by mixed bacterial vaccines without a pertussis component, assault, sequela",General
T50.A24S,"Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, sequela",General
T50.A25S,"Adverse effect of mixed bacterial vaccines without a pertussis component, sequela",General
T50.A26A,"Underdosing of mixed bacterial vaccines without a pertussis component, initial encounter",General
T50.A26D,"Underdosing of mixed bacterial vaccines without a pertussis component, subsequent encounter",General
T71.221S,"Asphyxiation due to being trapped in a car trunk, accidental, sequela",General
T71.223S,"Asphyxiation due to being trapped in a car trunk, assault, sequela",General
T71.224S,"Asphyxiation due to being trapped in a car trunk, undetermined, sequela",General
T71.231S,"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, sequela",General
T71.233S,"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, sequela",General
T71.234S,"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, sequela",General
T81.43XA,"Infection following a procedure, organ and space surgical site, initial encounter",General
T81.43XD,"Infection following a procedure, organ and space surgical site, subsequent encounter",General
T81.710S,"Complication of mesenteric artery following a procedure, not elsewhere classified, sequela",General
T81.711S,"Complication of renal artery following a procedure, not elsewhere classified, sequela",General
T81.718S,"Complication of other artery following a procedure, not elsewhere classified, sequela",General
T81.719S,"Complication of unspecified artery following a procedure, not elsewhere classified, sequela",General
T81.72XA,"Complication of vein following a procedure, not elsewhere classified, initial encounter",General
T81.72XD,"Complication of vein following a procedure, not elsewhere classified, subsequent encounter",General
W44.A0XA,"Battery unspecified, entering into or through a natural orifice, initial encounter",General
W44.A0XD,"Battery unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.A1XA,"Button battery entering into or through a natural orifice, initial encounter",General
W44.A1XD,"Button battery entering into or through a natural orifice, subsequent encounter",General
W44.A9XA,"Other batteries entering into or through a natural orifice, initial encounter",General
W44.A9XD,"Other batteries entering into or through a natural orifice, subsequent encounter",General
W44.B0XS,"Plastic object unspecified, entering into or through a natural orifice, sequela",General
W44.B1XA,"Plastic bead entering into or through a natural orifice, initial encounter",General
W44.B1XD,"Plastic bead entering into or through a natural orifice, subsequent encounter",General
W44.B2XA,"Plastic coin entering into or through a natural orifice, initial encounter",General
W44.B2XD,"Plastic coin entering into or through a natural orifice, subsequent encounter",General
W44.B4XA,"Plastic jewelry entering into or through a natural orifice, initial encounter",General
W44.B4XD,"Plastic jewelry entering into or through a natural orifice, subsequent encounter",General
W44.B5XA,"Plastic bottle entering into or through a natural orifice, initial encounter",General
W44.B5XD,"Plastic bottle entering into or through a natural orifice, subsequent encounter",General
W44.B9XS,"Other plastic object entering into or through a natural orifice, sequela",General
W44.C0XA,"Glass unspecified, entering into or through a natural orifice, initial encounter",General
W44.C0XD,"Glass unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.C1XA,"Sharp glass entering into or through a natural orifice, initial encounter",General
W44.C1XD,"Sharp glass entering into or through a natural orifice, subsequent encounter",General
W44.C2XA,"Intact glass entering into or through a natural orifice, initial encounter",General
W44.C2XD,"Intact glass entering into or through a natural orifice, subsequent encounter",General
W44.D1XS,"Magnetic metal bead entering into or through a natural orifice, sequela",General
W44.D2XS,"Magnetic metal coin entering into or through a natural orifice, sequela",General
W44.D3XS,"Magnetic metal toy entering into or through a natural orifice, sequela",General
W44.D4XS,"Magnetic metal jewelry entering into or through a natural orifice, sequela",General
W44.F2XA,"Rubber band entering into or through a natural orifice, initial encounter",General
W44.F2XD,"Rubber band entering into or through a natural orifice, subsequent encounter",General
W44.G1XA,"Audio device entering into or through a natural orifice, initial encounter",General
W44.G1XD,"Audio device entering into or through a natural orifice, subsequent encounter",General
W44.H9XS,"Other sharp object entering into or through a natural orifice, sequela",General
W44.8XXS,"Other foreign body entering into or through a natural orifice, sequela",General
W44.9XXS,"Unspecified foreign body entering into or through a natural orifice, sequela",General
X80.XXXA,"Intentional self-harm by jumping from a high place, initial encounter",General
X80.XXXD,"Intentional self-harm by jumping from a high place, subsequent encounter",General
Y30.XXXS,"Falling, jumping or pushed from a high place, undetermined intent, sequela",General
Y35.832A,"Legal intervention involving a conducted energy device, bystander injured, initial encounter",General
Y35.832D,"Legal intervention involving a conducted energy device, bystander injured, subsequent encounter",General
Y35.833A,"Legal intervention involving a conducted energy device, suspect injured, initial encounter",General
Y35.833D,"Legal intervention involving a conducted energy device, suspect injured, subsequent encounter",General
Y35.839S,"Legal intervention involving a conducted energy device, unspecified person injured, sequela",General
F28,Other psychotic disorder not due to a substance or known physiological condition,General
F51.8,Other sleep disorders not due to a substance or known physiological condition,General
F51.9,"Sleep disorder not due to a substance or known physiological condition, unspecified",General
F52.8,Other sexual dysfunction not due to a substance or known physiological condition,General
F52.9,Unspecified sexual dysfunction not due to a substance or known physiological condition,General
G97.52,Postprocedural hemorrhage of a nervous system organ or structure following other procedure,General
G97.62,Postprocedural hematoma of a nervous system organ or structure following other procedure,General
G97.64,Postprocedural seroma of a nervous system organ or structure following other procedure,General
I97.611,Postprocedural hemorrhage of a circulatory system organ or structure following cardiac bypass,General
I97.620,Postprocedural hemorrhage of a circulatory system organ or structure following other procedure,General
I97.621,Postprocedural hematoma of a circulatory system organ or structure following other procedure,General
I97.622,Postprocedural seroma of a circulatory system organ or structure following other procedure,General
I97.631,Postprocedural hematoma of a circulatory system organ or structure following cardiac bypass,General
I97.641,Postprocedural seroma of a circulatory system organ or structure following cardiac bypass,General
J09.X2,Influenza due to identified novel influenza A virus with other respiratory manifestations,General
J95.831,Postprocedural hemorrhage of a respiratory system organ or structure following other procedure,General
J95.861,Postprocedural hematoma of a respiratory system organ or structure following other procedure,General
J95.863,Postprocedural seroma of a respiratory system organ or structure following other procedure,General
K91.841,Postprocedural hemorrhage of a digestive system organ or structure following other procedure,General
K91.871,Postprocedural hematoma of a digestive system organ or structure following other procedure,General
K91.873,Postprocedural seroma of a digestive system organ or structure following other procedure,General
N02.B2,Recurrent and persistent immunoglobulin A nephropathy with focal and segmental glomerular lesion,General
N99.821,Postprocedural hemorrhage of a genitourinary system organ or structure following other procedure,General
N99.841,Postprocedural hematoma of a genitourinary system organ or structure following other procedure,General
N99.843,Postprocedural seroma of a genitourinary system organ or structure following other procedure,General
O36.1110,"Maternal care for Anti-A sensitization, first trimester, not applicable or unspecified",General
O36.1120,"Maternal care for Anti-A sensitization, second trimester, not applicable or unspecified",General
O36.1130,"Maternal care for Anti-A sensitization, third trimester, not applicable or unspecified",General
O36.1190,"Maternal care for Anti-A sensitization, unspecified trimester, not applicable or unspecified",General
O98.33,Other infections with a predominantly sexual mode of transmission complicating the puerperium,General
T50.A13S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, sequela",General
T50.A14S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, sequela",General
T50.A15S,"Adverse effect of pertussis vaccine, including combinations with a pertussis component, sequela",General
T50.A16A,"Underdosing of pertussis vaccine, including combinations with a pertussis component, initial encounter",General
T50.A16D,"Underdosing of pertussis vaccine, including combinations with a pertussis component, subsequent encounter",General
T50.A21S,"Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), sequela",General
T50.A23A,"Poisoning by mixed bacterial vaccines without a pertussis component, assault, initial encounter",General
T50.A23D,"Poisoning by mixed bacterial vaccines without a pertussis component, assault, subsequent encounter",General
T50.A24A,"Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, initial encounter",General
T50.A24D,"Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, subsequent encounter",General
T50.A25A,"Adverse effect of mixed bacterial vaccines without a pertussis component, initial encounter",General
T50.A25D,"Adverse effect of mixed bacterial vaccines without a pertussis component, subsequent encounter",General
T71.221A,"Asphyxiation due to being trapped in a car trunk, accidental, initial encounter",General
T71.221D,"Asphyxiation due to being trapped in a car trunk, accidental, subsequent encounter",General
T71.223A,"Asphyxiation due to being trapped in a car trunk, assault, initial encounter",General
T71.223D,"Asphyxiation due to being trapped in a car trunk, assault, subsequent encounter",General
T71.224A,"Asphyxiation due to being trapped in a car trunk, undetermined, initial encounter",General
T71.224D,"Asphyxiation due to being trapped in a car trunk, undetermined, subsequent encounter",General
T71.231A,"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, initial encounter",General
T71.231D,"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, subsequent encounter",General
T71.233A,"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, initial encounter",General
T71.233D,"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, subsequent encounter",General
T71.234A,"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, initial encounter",General
T71.234D,"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, subsequent encounter",General
T81.60XS,"Unspecified acute reaction to foreign substance accidentally left during a procedure, sequela",General
T81.61XS,"Aseptic peritonitis due to foreign substance accidentally left during a procedure, sequela",General
T81.69XS,"Other acute reaction to foreign substance accidentally left during a procedure, sequela",General
T81.710A,"Complication of mesenteric artery following a procedure, not elsewhere classified, initial encounter",General
T81.710D,"Complication of mesenteric artery following a procedure, not elsewhere classified, subsequent encounter",General
T81.711A,"Complication of renal artery following a procedure, not elsewhere classified, initial encounter",General
T81.711D,"Complication of renal artery following a procedure, not elsewhere classified, subsequent encounter",General
T81.718A,"Complication of other artery following a procedure, not elsewhere classified, initial encounter",General
T81.718D,"Complication of other artery following a procedure, not elsewhere classified, subsequent encounter",General
T81.719A,"Complication of unspecified artery following a procedure, not elsewhere classified, initial encounter",General
T81.719D,"Complication of unspecified artery following a procedure, not elsewhere classified, subsequent encounter",General
V43.44XS,"Person boarding or alighting a car injured in collision with van, sequela",General
V48.4XXS,"Person boarding or alighting a car injured in noncollision transport accident, sequela",General
W23.2XXS,"Caught, crushed, jammed or pinched between a moving and stationary object, sequela",General
W44.B0XA,"Plastic object unspecified, entering into or through a natural orifice, initial encounter",General
W44.B0XD,"Plastic object unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.B9XA,"Other plastic object entering into or through a natural orifice, initial encounter",General
W44.B9XD,"Other plastic object entering into or through a natural orifice, subsequent encounter",General
W44.D0XS,"Magnetic metal object unspecified, entering into or through a natural orifice, sequela",General
W44.D1XA,"Magnetic metal bead entering into or through a natural orifice, initial encounter",General
W44.D1XD,"Magnetic metal bead entering into or through a natural orifice, subsequent encounter",General
W44.D2XA,"Magnetic metal coin entering into or through a natural orifice, initial encounter",General
W44.D2XD,"Magnetic metal coin entering into or through a natural orifice, subsequent encounter",General
W44.D3XA,"Magnetic metal toy entering into or through a natural orifice, initial encounter",General
W44.D3XD,"Magnetic metal toy entering into or through a natural orifice, subsequent encounter",General
W44.D4XA,"Magnetic metal jewelry entering into or through a natural orifice, initial encounter",General
W44.D4XD,"Magnetic metal jewelry entering into or through a natural orifice, subsequent encounter",General
W44.D9XS,"Other magnetic metal objects entering into or through a natural orifice, sequela",General
W44.E1XS,"Non-magnetic metal bead entering into or through a natural orifice, sequela",General
W44.E2XS,"Non-magnetic metal coin entering into or through a natural orifice, sequela",General
W44.E3XS,"Non-magnetic metal toy entering into or through a natural orifice, sequela",General
W44.E4XS,"Non-magnetic metal jewelry entering into or through a natural orifice, sequela",General
W44.G9XS,"Other non-organic objects entering into or through a natural orifice, sequela",General
W44.H0XS,"Other sharp object unspecified, entering into or through a natural orifice, sequela",General
W44.H2XS,"Knife, sword or dagger entering into or through a natural orifice, sequela",General
W44.H9XA,"Other sharp object entering into or through a natural orifice, initial encounter",General
W44.H9XD,"Other sharp object entering into or through a natural orifice, subsequent encounter",General
W44.8XXA,"Other foreign body entering into or through a natural orifice, initial encounter",General
W44.8XXD,"Other foreign body entering into or through a natural orifice, subsequent encounter",General
W44.9XXA,"Unspecified foreign body entering into or through a natural orifice, initial encounter",General
W44.9XXD,"Unspecified foreign body entering into or through a natural orifice, subsequent encounter",General
