genericName,brandName,dosageForm,strength,classification
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Rite Aid Ryshi Sunscreen with Hyaluronic Acid and Collagen Broad Spectrum SPF 50,SPRAY,30 mg/g,General
Aspirin,aspirin pain relief,"TABLET, DELAYED RELEASE",325 mg/1,General
SALICYLIC ACID,Sulfur 8 Scalp Therapy Medicated Dandruff Control,SPRAY,20 mg/mL,General
Risperidone,Risperidone,TABLET,4 mg/1,General
Tasimelteon,Tasimelteon,POWDER,1 g/g,General
Aluminum Zirconium Tetrachlorohydrex Gly,Aluminum Zirconium Tetrachlorohydrex Gly,POWDER,1 kg/kg,General
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,CAPSULE,25 mg/1,General
Clomiphene Citrate,Clomiphene Citrate,POWDER,1 g/g,General
Mometasone Furoate,Mometasone Furoate,INHALANT,220 ug/1,General
Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,KIT,N/A,General
Mycophenolate Sodium,Mycophenolate Sodium,POWDER,1 kg/kg,General
CRIIa,CRIIa,"PELLETS, COATED, EXTENDED RELEASE",1 kg/kg,General
Stanozolol,Stanozolol,POWDER,35 kg/35kg,General
ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,POWDER,1 kg/kg,General
Salcaprozate Sodium,Salcaprozate Sodium,POWDER,1 kg/kg,General
Elamipretide (SS-31) Acetate,Elamipretide (SS-31) Acetate,POWDER,100 g/100g,General
DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,POWDER,1 g/g,General
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, AND OXYBENZONE",ESTEE LAUDER MULTI-DEFENSE AQUA UV gel BROAD SPECTRUM SPF 50,LOTION,30 mg/mL,General
Advanced Scar Gel,Target Advanced Scar Gel,GEL,5 mg/g,General
DIPHENHYDRAMINE HYDROCHLORIDE,Vicks ZzzQuil Nighttime Sleep-Aid,KIT,N/A,General
ANTIPERSPIRANT DEODORANT ROLL-ON,ZERMAT-PERFECT ANTIPERSPIRANT DEODORANT ROLL-ON FOR MEN,CREAM,7.1 g/71g,General
"Homosalate, Octisalate, Octocrylene, Zinc Oxide",Dear Sun Tone Perfecting SPF Cushion,CREAM,10 g/100g,General
Norixa Mini,Norixa Mini,TABLET,100 mg/1,General
WATER,Sterile Water,INJECTION,1 mL/mL,General
"Camphor, Menthol",Pain Reliever,SPRAY,.2 g/100g,General
ISOPROPYL ALCOHOL,Alcohol Prep Awabs,PATCH,70 mL/100mL,General
GLYCERIN,WART REMOVER,PATCH,.9 mg/180mg,General
"HOMOSALATE, OCTOCRYLENE, OCTISALATE, AVOBENZONE",Poolside Frostbite Sunscreen Coconut SPF 15 Scented Lip Gloss,LIQUID,30 mg/mL,General
Dimethicone 3% VARICOSE VEINS,DERMFREE VARICOSE VEINS,CREAM,3 g/100g,General
Minoxidil,TAGOQHIA 5% Minoxidil Hair Growth Sprays Serum,LIQUID,.5 g/100mL,General
Allantoin,Bed Sore and Wound Healing Cream,CREAM,5 mg/g,General
"Titanium Dioxide, Zinc Oxide",Tinted Mineral Sun Protectant,CREAM,80 mg/g,General
"Titanium Dioxide, Zinc Oxide",Tinted Matte Defense Sunscreen Primer,CREAM,80 mg/g,General
UREA,UREDEX,CREAM,200 mg/g,General
Benzalkonium Chloride,fomin mini Hand Sanitizer Wipes COCO-NILLA BLISS,CLOTH,.1 g/100mL,General
Salicylic Acid,Blemish Blitz Emergency Acne Serum,LIQUID,.01 g/mL,General
"acid phos, cephalandra ind, gynmema syl, momordica charantia, syz jambol",SYZ CEPHALANDRA,LIQUID,1 [hp_X]/mL,General
",Octyl Triazone (ethylhexyl triazone), Bisoctrizole, Diethylhexyl Butamido Triazone, Diethylamino Hydroxybenzoyl Hexyl Benzoate",Calming Days Vegan Sunscreen,GEL,2 g/100mL,General
"Melissa officinalis leaf, Melaleuca alternifolia (Tea Tree) leaf oil, Eucalyptus oil, Coconut oil, Beeswax, Alpha-tocopherol acetate DL-, Flax seed, Argan oil, Grape seed oil, Jojoba oil, Arctium lappa root, Oregano",Sea Jewels Lemon Balm Full Body Salve,SALVE,2.3 g/531.1g,General
potassium chloride,Potassium Chloride,"TABLET, EXTENDED RELEASE",1500 mg/1,General
Methimazole,Methimazole,TABLET,10 mg/1,General
Isopropyl Alcohol,Isopropyl Alcohol,LIQUID,70 mL/100mL,General
Nicotine,Nicotine Patch,PATCH,21 mg/1,General
Titanium Dioxide,bareMinerals BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20 Almond 22,LIQUID,33.2 mg/mL,General
ferumoxytol,ferumoxytol,LIQUID,1 kg/kg,General
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,"CAPSULE, GELATIN COATED",50 mg/21,General
Lomitapide Mesylate,Lomitapide Mesylate,CAPSULE,5 mg/1,General
sumatriptan succinate,sumatriptan succinate,"TABLET, FILM COATED",100 mg/1,General
Alvimopan,Alvimopan,CAPSULE,12 mg/1,General
Vancomycin HCL,Vancomycin HCL,POWDER,1 kg/kg,General
Calcium Carbonate,Calcium Carbonate,POWDER,.95 kg/kg,General
CARVEDILOL,CARVEDILOL,POWDER,1 kg/kg,General
Glipizide,Glipizide,POWDER,1 kg/kg,General
Retatrutide,Retatrutide,POWDER,1 g/g,General
Tapinarof,Tapinarof,POWDER,1 kg/kg,General
Pazopanib Hydrochloride,Pazopanib Hydrochloride,POWDER,75 kg/75kg,General
Rotigotine,Rotigotine,POWDER,1 kg/kg,General
Daclatasvir Dihydrochloride,Daclatasvir Dihydrochloride,POWDER,1 kg/kg,General
Hydrocortisone Hydrogen Succinate,Hydrocortisone Hydrogen Succinate,POWDER,1 kg/kg,General
Clevidipine,Clevidipine,POWDER,1 kg/kg,General
Naltrexone Hydrochloride,Naltrexone Hydrochloride,POWDER,1 g/g,General
Labetalol Hydrochloride,Labetalol Hydrochloride,"TABLET, FILM COATED",300 mg/1,General
"Candida Albicans, Candida Albicans DNA","Candida Albicans, Candida Albicans DNA",LIQUID,500 [hp_X]/mL,General
Desmopressin,Desmopressin,POWDER,85 g/85g,General
Haloperidol,Haloperidol,TABLET,1 mg/1,General
Betamethasone Acetate,Betamethasone Acetate,POWDER,1 kg/kg,General
Cetrorelix acetate,Cetrorelix acetate,POWDER,1 g/g,General
diphenhydramine hydrochloride,Diphenhydramine HCl,SOLUTION,25 mg/10mL,General
QUIZARTINIB DIHYDROCHLORIDE,QUIZARTINIB DIHYDROCHLORIDE,"TABLET, FILM COATED",17.7 mg/1,General
VALBENAZINE DITOSYLATE,VALBENAZINE DITOSYLATE,POWDER,1 kg/kg,General
Acyclovir,Acyclovir,POWDER,1 g/g,General
Tobramycin Sulfate,Tobramycin Sulfate,POWDER,1 g/g,General
FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,POWDER,1 kg/kg,General
Finerenone,Finerenone,TABLET,40 mg/1,General
Pyrantel Pamoate,Pyrantel Pamoate,GRANULE,720.5 mg/.0015kg,General
Coola Classic Face Lotion Sunscreen 50mL,Coola Classic Face Lotion Sunscreen 50mL,LOTION,17.5 mg/mL,General
Rabeprazole Sodium,Rabeprazole Sodium,POWDER,1 kg/kg,General
Diltiazem Hydrochloride,Diltiazem Hydrochloride,"CAPSULE, EXTENDED RELEASE",120 mg/1,General
Moxifloxacin Hydrochloride,Moxifloxacin Hydrochloride,POWDER,1 kg/kg,General
HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,POWDER,1 kg/kg,General
TRILACICLIB DIHYDROCHLORIDE,TRILACICLIB DIHYDROCHLORIDE,POWDER,1 kg/kg,General
Sumatriptan Succinate,Sumatriptan Succinate,POWDER,1 kg/kg,General
Betamethasone Dipropionate Micro,Betamethasone Dipropionate Micro,POWDER,1 g/g,General
nitisinone,nitisinone,TABLET,10 mg/1,General
rivaroxaban,rivaroxaban,"GRANULE, FOR SUSPENSION",155 mg/1,General
ERYTHROPOIETIN,ERYTHROPOIETIN,SOLUTION,10000 [iU]/mL,General
Tromethamine,Tromethamine,CRYSTAL,10 kg/10kg,General
Levofolinic Acid Crystalline,Levofolinic Acid Crystalline,POWDER,1 kg/kg,General
Sonidegib Phosphate,Sonidegib Phosphate,POWDER,1 kg/kg,General
Ritonavir,Ritonavir,POWDER,1 kg/kg,General
latanoprost,latanoprost,LIQUID,1 g/g,General
sumatriptan succinate,sumatriptan succinate,"TABLET, FILM COATED",50 mg/1,General
Cyclophosphamide,Cyclophosphamide,POWDER,1 mg/mg,General
Methocarbamol,"Methocarbamol Tablets, USP, 750 mg","TABLET, FILM COATED",750 mg/1,General
Lovastatin,Lovastatin,POWDER,1 kg/kg,General
Oxcarbazepine,Oxcarbazepine,SUSPENSION,300 mg/5mL,General
Eletriptan Hydrobromide,Eletriptan Hydrobromide,POWDER,50 kg/50kg,General
Ibuprofen,Ibuprofen,TABLET,200 mg/1,General
Upadacitinib,Upadacitinib,POWDER,1 kg/kg,General
"Arnica Montana, Bellis Perennis, Matricaria Chamomilla, Ipecac, and Lycopdoium clavatum spore","Arnica Montana, Bellis Perennis, Matricaria Chamomilla, Ipecac, and Lycopdoium clavatum spore",TABLET,30 [hp_C]/1,General
BUMETANIDE,BUMETANIDE,TABLET,.5 mg/1,General
Gonadorelin Acetate,Gonadorelin Acetate,POWDER,1 g/g,General
aflibercept,aflibercept,"INJECTION, SOLUTION",50 mg/mL,General
Exemestrane,Exemestrane,POWDER,1 kg/1,General
Ozenoxacin,Ozenoxacin,POWDER,1 kg/kg,General
ACTH 1-24 (Tetracosactide Acetate),ACTH 1-24 (Tetracosactide Acetate),POWDER,1 g/g,General
trastuzumab,trastuzumab,LIQUID,1 kg/kg,General
aflibercept-jbvf,aflibercept-jbvf,INJECTION,20 mg/.5mL,General
Salmeterol Xinafoate,Salmeterol Xinafoate,POWDER,1 kg/kg,General
IODINE I-131,IODINE I-131,SOLUTION,350 U/mL,General
ALTRENOGEST,ALTRENOGEST,POWDER,1 kg/kg,General
Aripiprazole,Aripiprazole,POWDER,1 kg/kg,General
Atomoxetine Hydrochloride,Atomoxetine Hydrochloride,POWDER,25 kg/25kg,General
Calcium carbonate granulation with maltodextrin and mineral oil,Calcium carbonate granulation with maltodextrin and mineral oil,GRANULE,475 kg/500kg,General
Simvastatin,Simvastatin,"TABLET, FILM COATED",80 mg/1,General
Alprazolam,Alprazolam,"TABLET, EXTENDED RELEASE",1 mg/1,General
Cinacalcet Hydrochloride,Cinacalcet Hydrochloride,POWDER,50 kg/50kg,General
Ketorolac Tromethamine,Ketorolac Tromethamine,POWDER,1 kg/kg,General
Flucytosine,Flucytosine,POWDER,1 kg/kg,General
Stubborn E Relief,TriDerma Stubborn Eczema Itch Relief,CREAM,2 g/100g,General
Divalproex Sodium,Depakote Sprinkles,CAPSULE,125 mg/1,General
"camphor, eucalyptus oil, menthol",Mentholatum Lavender Vaporizing Rub,OINTMENT,53 mg/g,General
CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,POWDER,1 g/g,General
Pneumococcal 21-valent Conjugate Vaccine,Pneumococcal 21-valent Conjugate Vaccine,"INJECTION, SOLUTION",65 ug/.5mL,General
Alnus rubra,Red Alder Pollen,SOLUTION,40000 [PNU]/mL,General
Rumex acetosella,Sheep Red Sorrel,SOLUTION,.05 g/mL,General
Ligustrum vulgare,Privet Pollen,SOLUTION,.05 g/mL,General
Everolimus,Everolimus,TABLET,5 mg/1,General
norethindrone acetate and ethinyl estradiol and ferrous fumarate,Finzala,KIT,N/A,General
"Octinoxate, Zinc Oxide",LBEL FOREVER MATTE SHINE CONTROL AND 90H HYDRATION FOUNDATION SPF 15 CACAO 350N,EMULSION,50 mg/g,General
BERBERIS VULGARIS,BERBERIS VULGARIS,PELLET,1 [hp_X]/1,General
Carboxymethylcellulose Sodium Eye Drops 0.5%,Carboxymethylcellulose Sodium Eye Drops 0.5%,FOR SOLUTION,5 mg/mL,General
"Octinoxate, Zinc Oxide, Titanium Dioxide",MISSHA M Perfect Cover BB No.33,CREAM,7.5 g/100mL,General
Isosorbide dinitrate,Isosorbide dinitrate,TABLET,10 mg/1,General
Alendronate Sodium,Alendronate Sodium,TABLET,35 mg/1,General
decitabine,Decitabine,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",50 mg/20mL,General
arteria suis - alpha ketoglutaricum acidum - alpha lipoicum acidum - ascorbicum acidum - barium oxalsuccinicum - bryonia alba - calcarea carbonica - cartilago suis - chlorinum - cimicifuga racemosa - colchicum autumnale - dulcamara - embryo suis - funiculus umbilicalis suis - glandula suprarenalis suis - nadidum - natrum oxalaceticum - natrum sulphuricum - placenta totalis suis - rhus toxicodendron - sulphur- vena suis -,GUNA ARTHRO RELIEF,SOLUTION/ DROPS,3 [hp_X]/30mL,General
Prednisolone Sodium Phosphate,Prednisolone Sodium Phosphate,SOLUTION,15 mg/5mL,General
Ibuprofen,Ibuprofen,"TABLET, COATED",200 mg/1,General
Loratadine,All Day Allergy Relief,TABLET,10 mg/1,General
Dermatophagoides pteronyssinus,Standardized Mite Dermatophagoides pteronyssinus,CONCENTRATE,5000 [AU]/mL,General
Donepezil Hydrochloride,Donepezil Hydrochloride,"TABLET, FILM COATED",10 mg/1,General
Atorvastatin calcium,Atorvastatin calcium,TABLET,20 mg/1,General
Benzalkonium Chloride Liquid,Softsoap Antibacterial Kitchen Fresh Hands,LIQUID,1.33 mg/mL,General
Fenofibrate,Fenofibrate,"TABLET, FILM COATED",54 mg/1,General
Ferumoxytol,FeraBright,INJECTION,30 mg/mL,General
ACYCLOVIR,ACYCLOVIR,TABLET,800 mg/1,General
gepirone,EXXUA,"TABLET, EXTENDED RELEASE",72.6 mg/1,General
OXYGEN,OXYGEN,GAS,99 L/100L,General
daptomycin,daptomycin,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",50 mg/mL,General
Zinc OXide,Burts Bees Calming Day SPF30,LOTION,16.9 g/100g,General
doxycycline,doxycycline,CAPSULE,100 mg/1,General
Guanfacine,Guanfacine,"TABLET, EXTENDED RELEASE",1 mg/1,General
Phenylephrine HCl,Sinus Decongestion PE,"TABLET, FILM COATED",10 mg/1,General
ZINC OXIDE,DAILY SUNSCREEN BROAD SPECTRUM SPF 30,CREAM,155 mg/mL,General
Furosemide,Furosemide,"INJECTION, SOLUTION",10 mg/mL,General
Losartan Potassium,Losartan Potassium,"TABLET, FILM COATED",100 mg/1,General
Germanium Oxydatum,Germanium Oxydatum,PELLET,1 [hp_M]/1,General
Aluminium Bromatum,Aluminium Bromatum,PELLET,200 [hp_C]/1,General
Gallium Metallicum,Gallium Metallicum,PELLET,500 [hp_C]/1,General
Divalproex Sodium,Divalproex Sodium,PELLET,100 [hp_C]/1,General
Zirconium Fluoratum,Zirconium Fluoratum,PELLET,100 [hp_C]/1,General
Calcarea Iodata,Calcarea Iodata,PELLET,200 [hp_C]/1,General
oxymetazoline hydrochloride,Topcare Nasal,SPRAY,.05 g/100mL,General
calcium carbonate,Topcare Antacid Calcium,"TABLET, CHEWABLE",1000 mg/1,General
Cinnabaris,Cinnabaris,PELLET,200 [hp_C]/1,General
Copaiva Officinalis,Copaiva Officinalis,PELLET,100 [hp_C]/1,General
Graphites,Graphites,PELLET,100 [hp_C]/1,General
Cobaltum Carbonicum,Cobaltum Carbonicum,PELLET,200 [hp_C]/1,General
Selenium Metallicum,Selenium Metallicum,PELLET,12 [hp_C]/1,General
Sodium Fluoride,PreviDent 5000 Plus Fruitastic,"PASTE, DENTIFRICE",11 mg/g,General
Zinc Oxide,Boudreauxs,CREAM,40 g/113g,General
Rheum Officinale,Rheum Officinale,PELLET,30 [hp_C]/1,General
Crocus Sativus,Crocus Sativus,PELLET,6 [hp_C]/1,General
Xanthoxylum Fraxineum,Xanthoxylum Fraxineum,PELLET,6 [hp_C]/1,General
tirzepatide,ZEPBOUND,"INJECTION, SOLUTION",12.5 mg/.5mL,General
Aluminum Acetate,ZO Skin Health Astringent Solution,POWDER,4866 mg/6g,General
Cefazolin,Cefazolin,"INJECTION, POWDER, FOR SOLUTION",10 g/1,General
Piroxicam,PIROXICAM,CAPSULE,10 mg/1,General
Milrinone Lactate in Dextrose,Milrinone Lactate in Dextrose,"INJECTION, SOLUTION",200 ug/mL,General
Niobium Oxydatum,Niobium Oxydatum,PELLET,30 [hp_C]/1,General
Pulsatilla Nigricans,Pulsatilla Nigricans,PELLET,12 [hp_C]/1,General
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",HEB SPF 50 Strawberry Daquiri Scented Continuous Sunscreen,SPRAY,30 mg/g,General
"Guaifenesin, Dextromethorphan HBr",Mucus Relief DM,"TABLET, EXTENDED RELEASE",30 mg/1,General
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,"INJECTION, SOLUTION",50 mg/mL,General
ibuprofen,equaline childrens ibuprofen,"TABLET, CHEWABLE",100 mg/1,General
DIPHENHYDRAMINE HYDROCHLORIDE,ALLERGY,"TABLET, FILM COATED",25 mg/1,General
levocetirizine dihydrochloride,Allergy Relief,"TABLET, FILM COATED",5 mg/1,General
Calcium carbonate,Publix Extra Strength Tropical Fruit,"TABLET, CHEWABLE",750 mg/1,General
Epinephrine in Sodium Chloride,Adrenalin (epinephrine in sodium chloride),INJECTION,20 ug/mL,General
Potassium Chloride,Potassium Chloride,"CAPSULE, EXTENDED RELEASE",750 mg/1,General
"AVOBENZONE, HOMOSALATE, OCTISALATE, and OXYBENZONE",LAB SERIES DAY RESCUE DEFENSE BROAD SPECTRUM SPF 35,LOTION,.03 g/mL,General
Aspirin,Aspirin,"TABLET, DELAYED RELEASE",325 mg/1,General
"butalbital, acetaminophen and caffeine","butalbital, acetaminophen and caffeine",TABLET,325 mg/1,General
"Trifolium Pratense, Petroleum, Phytolacca Decandra, Arsenicum Album, Chelidonium Majus, Lycopodium Clavatum, Nux Vomica, Phosphoricum Acidum, Phosphorus, Nitricum Acidum",Additivestat,LIQUID,12 [hp_X]/mL,General
tazarotene,TAZAROTENE,GEL,1 mg/g,General
nicardipine hydrochloride,Cardene IV,"INJECTION, SOLUTION",.2 mg/mL,General
amlodipine and valsartan,AMLODIPINE AND VALSARTAN,TABLET,10 mg/1,General
"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",SULWHASOO PERFECTING CUSHION NO. 25,LOTION,2.1 g/30g,General
Lisinopril,LISINOPRIL,TABLET,30 mg/1,General
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,"TABLET, FILM COATED",100 mg/1,General
eltrombopag,eltrombopag,"TABLET, FILM COATED",50 mg/1,General
"Asclepias Vincetoxicum, Echinacea (Angustifolia), Hypothalamus (Suis), Cerebrum Suis, Hepar Suis, Kidney (Suis), Methylcobalamin, Pancreas Suis, Stomach (Suis), AACG-A, AACG-B, Calcarea Carbonica, Gelsemium Sempervirens, Graphites, Nux Vomica, Phytolacca Decandra, Gambogia, 7-Oxo-Dehydroepiandrosterone 3-Acetate, Adenosinum Triphosphoricum Dinatrum, Insulinum (Suis), Sarcolacticum Acidum, Proteus (Vulgaris)",HA2CG Evolution,LIQUID,30 [hp_X]/mL,General
"Aconitum Napellus, Anacardium Orientale, Angelica Sinensis, Argentum Nitricum, Arsenicum Album, Cacao, Calcarea Carbonica, Clematis Vitalba, Flos, Cocculus Indicus, Gelsemium Sempervirens, Glandula Suprarenalis Suis, Helianthemum Nummularium, Flos, Ignatia Amara, Impatiens Glandulifera, Flos, Lithium Carbonicum, Ornithogalum Umbellatum, Flos, Passiflora Incarnata, Piper Methysticum, Prunus Cerasifera, Flos, Valeriana Officinalis",AnXious,LIQUID,12 [hp_X]/mL,General
CLEMATIS VITALBA FLOWER,BIO CLEMATIS,LIQUID,6 [hp_X]/mL,General
reconstituted Air,reconstituted Air,GAS,210 mL/L,General
"Echinacea (Angustifolia), Uva-Ursi, Baptisia Tinctoria, Convallaria Majalis, Kali Muriaticum, Pinus Sylvestris, Thuja Occidentalis, Bryonia, Crotalus Horridus, Lachesis Mutus, Selenium Metallicum, Viscum Album",WINTER BLEND,LIQUID,1 [hp_X]/mL,General
Mirtazapine,Mirtazapine,"TABLET, FILM COATED",30 mg/1,General
Lovastatin,Lovastatin,TABLET,20 mg/1,General
Metoprolol Tartrate,Metoprolol Tartrate,"TABLET, FILM COATED",25 mg/1,General
"Methyl Salicylate, Capsaicin, and Menthol",NEW TEROCIN,LOTION,.025 g/100mL,General
Carbamazepine,Carbamazepine,"TABLET, FILM COATED, EXTENDED RELEASE",100 mg/1,General
paliperidone,paliperidone,"TABLET, EXTENDED RELEASE",1.5 mg/1,General
Isopropyl Alcohol,EcoCare 350,SOLUTION,80 mL/100mL,General
"ACETAMINOPHEN,CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HYDROCHLORIDE",Otis Clapp Valihist,"TABLET, FILM COATED",325 mg/1,General
levetiracetam,Levetiracetam,"TABLET, FILM COATED",500 mg/1,General
Nervus Vagus 6X,Nervus Vagus 6X,LIQUID,6 [hp_X]/mL,General
Loperamide HCl,Anti Diarrheal,TABLET,2 mg/1,General
APIS MELLIFERA,Apis mellifica,PELLET,30 [hp_X]/30[hp_X],General
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,"TABLET, COATED",25 mg/1,General
ARSENIC TRIOXIDE,Arsenicum album,PELLET,5 [hp_C]/5[hp_C],General
"OCTISALATE, TITANIUM DIOXIDE",PARURE GOLD SKIN MATTE FOUNDATION NO-TRANSFER HIGH PERFECTION 24H CARE AND WEAR INFUSED WITH 24K GOLD AND WHITE PEONY WITH SUNSCREEN BROADSPECTRUM SPF 15 3.5N,EMULSION,35 mg/mL,General
"AVOBENZONE, HOMOSALATE, OCTISALATE and OCTOCRYLENE",Garnier green labs Pore Perfecting CannaB Serum Broad Spectrum SPF 30 Sunscreen,CREAM,30 mg/mL,General
Cephalexin,Cephalexin,CAPSULE,500 mg/1,General
levothyroxine sodium,Levothyroxine Sodium,TABLET,25 ug/1,General
Mucus Relief DM,Mucus Relief DM Immediate Release,TABLET,20 mg/1,General
MENTHOL,North Star Nutritionals Soothanol X3 Pain Relieving Drops,LIQUID,130 mg/mL,General
PYRITHIONE ZINC,CONTROL Dandruff- Free Beard Wash,SHAMPOO,10 mg/mL,General
Ramipril,Ramipril,CAPSULE,10 mg/1,General
Doxycycline hyclate,Doxycycline hyclate,CAPSULE,50 mg/1,General
Levothyroxine Sodium,Levothyroxine Sodium,TABLET,50 ug/1,General
Valacyclovir Hydrochloride,Valacyclovir Hydrochloride,"TABLET, FILM COATED",500 mg/1,General
SOLANUM DULCAMARA TOP,Dulcamara,PELLET,200 [kp_C]/200[kp_C],General
Glimepiride,Glimepiride,TABLET,2 mg/1,General
Levothyroxine sodium,Levothyroxine sodium,TABLET,112 ug/1,General
Carvedilol,Carvedilol,"TABLET, FILM COATED",6.25 mg/1,General
spesolimab,SPEVIGO,INJECTION,60 mg/mL,General
bevacizumab,Avastin,"INJECTION, SOLUTION",100 mg/4mL,General
Indomethacin,Indomethacin,CAPSULE,25 mg/1,General
"benzalkonium chloride, lidocaine",First Aid and Burn,CREAM,.13 g/100g,General
brivaracetam,Briviact,"TABLET, FILM COATED",100 mg/1,General
Docusate Sodium,Docusate Sodium softgels 50mg (Dye Free),"CAPSULE, LIQUID FILLED",50 mg/1,General
EUPHRASIA STRICTA,Euphrasia officinalis,PELLET,30 [hp_X]/30[hp_X],General
pyridostigmine bromide,pyridostigmine bromide,TABLET,60 mg/1,General
GUANFACINE,GUANFACINE,"TABLET, EXTENDED RELEASE",4 mg/1,General
Bismuth subsalicylate,Guardian Pink-Bismuth Cherry,"TABLET, CHEWABLE",262 mg/1,General
Docusate Sodium 250mg,Prolaxa,"CAPSULE, LIQUID FILLED",250 mg/1,General
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,TABLET,5 mg/1,General
Medroxyprogesterone Acetate,Medroxyprogesterone Acetate,TABLET,10 mg/1,General
LORATADINE,Dye-Free Childrens Loratadine,"TABLET, CHEWABLE",5 mg/1,General
LIDOCAINE HCl AND EPINEPHRINE,LIDOCAINE HCl AND EPINEPHRINE,"INJECTION, SOLUTION",10 ug/mL,General
tretinoin,Tretinoin,CREAM,.5 mg/g,General
Darifenacin Hydrobromide,Darifenacin,"TABLET, EXTENDED RELEASE",7.5 mg/1,General
ustekinumab-aekn,Ustekinumab-aekn,"INJECTION, SOLUTION",45 mg/.5mL,General
Everolimus tablets,Everolimus,TABLET,1 mg/1,General
"Polyethylene Glycol 3350, Sodium Sulfate Anhydrous, Sodium Bicarbonate, Sodium Chloride, Potassium Chloride",GoLYTELY,"POWDER, FOR SOLUTION",236 g/4L,General
SPIRONOLACTONE,SPIRONOLACTONE,"TABLET, FILM COATED",50 mg/1,General
Hepar (Liver) 30X,Hepar (Liver) 30X,LIQUID,30 [hp_X]/30mL,General
Acetaminophen,Pain Relief,"TABLET, COATED",500 mg/1,General
SULFUR,GOODBYE ACNE THERAPEUTIC SULFUR MASK,PASTE,14.458 g/144.58g,General
Benzalkonium Chloride,Dial Foaming Antibacterial Defense Hand Wash Linen and Lily,SOLUTION,.13 g/100mL,General
LIDOCAINE HYDROCHLORIDE,TattooNumb,CREAM,4 g/100g,General
alcohol,Walgreens Hand Sanitizer watermelon,SPRAY,70 mL/100mL,General
Pravastatin sodium,Pravastatin sodium,TABLET,20 mg/1,General
SODIUM CARBONATE,Natrum carbonicum,PELLET,200 [kp_C]/200[kp_C],General
"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",Natrum phosphoricum,PELLET,6 [hp_C]/6[hp_C],General
levothyroxine sodium,Levothyroxine Sodium,TABLET,150 ug/1,General
Benzocaine,Alpha-Caine Topical Anesthetic,GEL,200 mg/g,General
Lidicaine,Promescent,SPRAY,10 g/100g,General
Ostreae Concha,KOREA CALCIUM KING,TABLET,.76 mg/1,General
"Bacitracin Zinc, Neomycin Sulfate, and POLYMYXIN B SULFATE",Triple Antibiotic,OINTMENT,400 [iU]/g,General
"Aconitum nap., Apis mel., Arnica, Arsenicum alb., Belladonna, Bellis, Bryonia, Calendula, Chamomilla, Cistus canadensis, Ferrum phosphoricum, Histaminum hydrochloricum, Hypericum, Ignatia, Mezereum, Ornithogalum, Passiflora, Phosphorus, Prunus spin., Rhus toxicodendron, Sarcolacticum ac., Sulphur, Veratrum alb., Valeriana.",Panic Button,LIQUID,15 [hp_X]/mL,General
Methyl Salicylate,Ubredol,OINTMENT,10 g/100g,General
"Acetaminophen, Chlorpheniramine maleate, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",Cold and Flu Severe Day Time / Night Time,KIT,N/A,General
Loratadine,childrens allergy,SOLUTION,5 mg/5mL,General
Fluconazole,Fluconazole,TABLET,150 mg/1,General
Salicylic Acid,XtraCare Dandruff Hair Wash,SHAMPOO,10 g/325g,General
Propylene Glycol,OneDrop,LIQUID,.6 g/100mL,General
"Helianthemum nummularium flower, Clematis vitalba flower, Impatiens glandulifera flower, Prunus cerasifera flower, and ORNITHOGALUM UMBELLATUM WHOLE",Rescue Remedy Dropper,SOLUTION,5 [hp_X]/.095mL,General
Isopropyl Alcohol,70% ISOPROPYL RUBBING ALCOHOL WITH WINTERGREEN,LIQUID,70 mL/100mL,General
"naja naja venom, grindelia hirsutula flowering top, and lachesis muta venom",D-22,SOLUTION/ DROPS,4 [hp_X]/mL,General
