genericName,brandName,dosageForm,strength,classification
Aluminium Bromatum,Aluminium Bromatum,PELLET,10 [hp_M]/1,General
Mancinella Venenata,Mancinella Venenata,PELLET,6 [hp_C]/1,General
Divalproex Sodium,Divalproex Sodium,PELLET,1 [hp_M]/1,General
Zirconium Fluoratum,Zirconium Fluoratum,PELLET,1 [hp_M]/1,General
THEOPHYLLINE,THEOPHYLLINE,SOLUTION,80 mg/15mL,General
"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",TopCare Everyday Sport Continuous Broad Spectrum SPF 70,SPRAY,30 mg/g,General
SODIUM CITRATE and CITRIC ACID MONOHYDRATE,Sodium Citrate and Citric Acid,SOLUTION,334 mg/5mL,General
POTASSIUM CHLORIDE,Potassium Chloride,SOLUTION,20 meq/15mL,General
Copaiva Officinalis,Copaiva Officinalis,PELLET,500 [hp_C]/1,General
Graphites,Graphites,PELLET,500 [hp_C]/1,General
Cobaltum Carbonicum,Cobaltum Carbonicum,PELLET,1 [hp_M]/1,General
Selenium Metallicum,Selenium Metallicum,PELLET,100 [hp_C]/1,General
Kali Carbonicum,Kali Carbonicum,PELLET,10 [hp_M]/1,General
Iris Versicolor,Iris Versicolor,PELLET,500 [hp_C]/1,General
Rheum Officinale,Rheum Officinale,PELLET,500 [hp_C]/1,General
Crocus Sativus,Crocus Sativus,PELLET,100 [hp_C]/1,General
Xanthoxylum Fraxineum,Xanthoxylum Fraxineum,PELLET,100 [hp_C]/1,General
nintedanib,Nintedanib,CAPSULE,150 mg/1,General
"Avobenzone, Octisalate, Octocrylene",ZO Skin Health Gel Sunscreen Broad-Spectrum SPF 50,GEL,1.35 g/45g,General
Hydroxyzine Hydrochloride,Hydroxyzine Hydrochloride,"TABLET, FILM COATED",50 mg/1,General
Tranexamic Acid,Tranexamic Acid,INJECTION,100 mg/mL,General
Sport Lotion Mineral Sunscreen SPF 30,365 Everyday Value,LOTION,8.25 g/44mL,General
Niobium Oxydatum,Niobium Oxydatum,PELLET,500 [hp_C]/1,General
Pulsatilla Nigricans,Pulsatilla Nigricans,PELLET,200 [hp_C]/1,General
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",HEB SPF 50 Cucumber Water Scented Continuous Sunscreen,SPRAY,30 mg/g,General
Acetaminophen,Pain Relief 8 HR,"TABLET, FILM COATED, EXTENDED RELEASE",650 mg/1,General
Alcohol,Dehydrated Alcohol,"INJECTION, SOLUTION",1 mL/mL,General
Docosanol,Docosanol,CREAM,100 mg/g,General
STOOL SOFTENER-STIMULANT LAXATIVE,STOOL SOFTENER-STIMULANT LAXATIVE,"TABLET, COATED",50 mg/1,General
Doxycycline,Doxycycline,"INJECTION, POWDER, FOR SOLUTION",100 mg/1,General
Daptomycin,Daptomycin,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",350 mg/7mL,General
Bivalirudin,Bivalirudin,"INJECTION, SOLUTION",250 mg/1,General
ropinirole hydrochloride,ROPINIROLE HYDROCHLORIDE,"TABLET, FILM COATED, EXTENDED RELEASE",2 mg/1,General
Adenosine,Tissen NF 10,LIQUID,.012 g/30mL,General
"glycerin, naphazoline HCl",GNP Eye Drops Redness and Dry Eye Relief,SOLUTION,.25 g/100mL,General
Pramipexole Dihydrochloride,Pramipexole Dihydrochloride,TABLET,.5 mg/1,General
"Avena Sativa, Chlorophytum Borivilianum, Nuphar Luteum, Hypothalamus Suis, Orchitinum (Suis), Damiana, Selenium Metallicum, Staphysagria, Thuja Occidentalis",Body Balance,SPRAY,3 [hp_X]/mL,General
Ketoconazole,Ketoconazole,"SHAMPOO, SUSPENSION",20 mg/mL,General
nicardipine hydrochloride,CARDENE IV,"INJECTION, SOLUTION",.2 mg/mL,General
voriconazole,voriconazole,"TABLET, FILM COATED",200 mg/1,General
"OCTINOXATE, TITANIUM DIOXIDE, and HOMOSALATE",Sulwhasoo Perfecting Cushion NO.21N1 Beige,LOTION,1.05 g/15g,General
Losartan potassium,Losartan Potassium,"TABLET, FILM COATED",50 mg/1,General
CHLORPROMAZINE HCI,CHLORPROMAZINE HCI,INJECTION,25 mg/mL,General
Aripiprazole orally disintegrating,Aripiprazole,TABLET,15 mg/1,General
